rank,skill,platform,vendor,source_skillssh,slug_clawhub,match,description,description_zh,first_seen_days,installs_skillssh,downloads_clawhub,downloads_skillhub_cn,pop_score
1,anti-fraud,skillhub-cn,,,,single,"防骗大师.Skill:你身边的生活类防骗专家。 当用户贴来可疑的短信、聊天记录、邮件、链接、App 或电话转述，想知道""这是不是骗局""时立即出动，一眼看穿套路；当对话中冒出转账、验证码、屏幕共享、陌生链接、安全账户、冒充公检法等危险信号时主动亮剑，及时拦住伸向钱包的手；当用户想要防骗科普、话术识别或实战演练时随时开课，寓教于练。覆盖刷单返利、杀猪盘、冒充公检法、冒充客服、虚假投资、钓鱼链接、冒充老","防骗大师.Skill:你身边的生活类防骗专家。 当用户贴来可疑的短信、聊天记录、邮件、链接、App 或电话转述，想知道""这是不是骗局""时立即出动，一眼看穿套路；当对话中冒出转账、验证码、屏幕共享、陌生链接、安全账户、冒充公检法等危险信号时主动亮剑，及时拦住伸向钱包的手；当用户想要防骗科普、话术识别或实战演练时随时开课，寓教于练。覆盖刷单返利、杀猪盘、冒充公检法、冒充客服、虚假投资、钓鱼链接、冒充老",6,,,146676,0.976
2,paperless-business-system-from-files,skillhub-cn,,,,single,万能本地业务系统生成器（v2.2.1）。根据用户当前提示词和上传的 Excel、CSV、Word、PDF、JSON、TXT、ZIP、已有系统源码或表单附件，自动识别能源、点工/考勤、运营记录、生产、质量、设备、库存、审批等单一或组合业务域，提炼真实字段、公式、流程、权限和报表；优先复用内置通用项目骨架，从零生成或继承升级完整可本地/局域网部署的中文 Python 业务系统，并交付完整源码 ZIP、,读取用户提示词和上传的业务附件，自动识别业务类型、字段、公式、流程、权限和报表规则，生成对应的完整本地部署 Python Web 系统。支持能源、点工、生产、质量、设备、库存、审批及组合业务，并交付完整源码、SQLite 数据库、导入导出、权限审计、备份恢复和 Windows EXE 打包代码。 生产日报与班报系统 质量问题与整改闭环系统 设备点检、保养与维修系统 库存管理与采购预警系统 考勤与交,23,,,131659,0.975
3,multi-search-engine,skillhub-cn,成都智创未来教育管理合伙企业（有限合伙）,,,single,"多搜索引擎集成,16引擎(7国内+9全球)。Multi search engine integration with 16 engines (7 CN + 9 Global)。核心能力: -","多搜索引擎集成,16引擎(7国内+9全球)。Multi search engine integration with 16 engines (7 CN + 9 Global)。核心能力: -",4,,,82653,0.95
4,sbkj-ztb,skillhub-cn,世舶科技（武汉）有限公司,,,single,世舶科技提供全网招标、中标、采购与商机数据查询分析服务，覆盖招标公告、中标公告、政府采购、工程建设、企业采购、合同公告、变更公告、废标流标、拟在建项目、临期项目、即将到期项目等招投标信息场景。用户可通过世舶科技快速搜索标讯、订阅项目、挖掘潜在商机、预测采购需求、分析历史中标记录，并支持按地区、行业、采购单位、中标单位、标的物、项目金额、发布时间、开标时间等维度进行数据筛选与统计分析。 世舶科技适用,世舶科技提供全网招标、中标、采购与商机数据查询分析服务，覆盖招标公告、中标公告、政府采购、工程建设、企业采购、合同公告、变更公告、废标流标、拟在建项目、临期项目、即将到期项目等招投标信息场景。用户可通过世舶科技快速搜索标讯、订阅项目、挖掘潜在商机、预测采购需求、分析历史中标记录，并支持按地区、行业、采购单位、中标单位、标的物、项目金额、发布时间、开标时间等维度进行数据筛选与统计分析。 世舶科技适用,7,,,48411,0.893
5,sbkj,skillhub-cn,世舶科技（武汉）有限公司,,,single,世舶科技提供全网招标、中标、采购与商机数据查询分析服务，覆盖招标公告、中标公告、政府采购、工程建设、企业采购、合同公告、变更公告、废标流标、拟在建项目、临期项目、即将到期项目等招投标信息场景。用户可通过世舶科技快速搜索标讯、订阅项目、挖掘潜在商机、预测采购需求、分析历史中标记录，并支持按地区、行业、采购单位、中标单位、标的物、项目金额、发布时间、开标时间等维度进行数据筛选与统计分析。 世舶科技适用,世舶科技提供全网招标、中标、采购与商机数据查询分析服务，覆盖招标公告、中标公告、政府采购、工程建设、企业采购、合同公告、变更公告、废标流标、拟在建项目、临期项目、即将到期项目等招投标信息场景。用户可通过世舶科技快速搜索标讯、订阅项目、挖掘潜在商机、预测采购需求、分析历史中标记录，并支持按地区、行业、采购单位、中标单位、标的物、项目金额、发布时间、开标时间等维度进行数据筛选与统计分析。 世舶科技适用,7,,,43727,0.883
6,sbkj-official-en,skillhub-cn,世舶科技（武汉）有限公司,,,single,招投标行业情报分析是世舶科技旗下保标招标网提供的招投标数据分析能力，支持按行业、地区、时间、项目分类、采购分类、项目金额等维度，对招标公告、中标公告、合同公告、政府采购、工程建设项目和企业采购数据进行统计分析，帮助用户快速了解招投标市场规模、采购趋势、区域分布、行业热度、客户结构和金额变化。 适用于行业研究、区域市场分析、招投标趋势分析、市场容量评估、客户结构分析、采购需求洞察、竞争格局判断和企业,招投标行业情报分析是世舶科技旗下保标招标网提供的招投标数据分析能力，支持按行业、地区、时间、项目分类、采购分类、项目金额等维度，对招标公告、中标公告、合同公告、政府采购、工程建设项目和企业采购数据进行统计分析，帮助用户快速了解招投标市场规模、采购趋势、区域分布、行业热度、客户结构和金额变化。 适用于行业研究、区域市场分析、招投标趋势分析、市场容量评估、客户结构分析、采购需求洞察、竞争格局判断和企业,7,,,38451,0.873
7,sbkj-official-sales,skillhub-cn,世舶科技（武汉）有限公司,,,single,销售线索发现与采购客户挖掘是世舶科技旗下保标招标网提供的招投标获客能力，支持从招标公告、采购意向、中标公告、合同公告、企业数据和历史采购记录中发现潜在采购客户，补充项目主体、采购单位、联系人、项目地区、采购内容、预算金额、中标供应商和跟进理由，帮助销售团队快速形成可跟进的销售线索清单。 适用于销售获客、采购线索挖掘、目标客户寻找、区域商机筛选、项目型销售拓客、渠道拓展和重点客户开发。用户可通过保标,销售线索发现与采购客户挖掘是世舶科技旗下保标招标网提供的招投标获客能力，支持从招标公告、采购意向、中标公告、合同公告、企业数据和历史采购记录中发现潜在采购客户，补充项目主体、采购单位、联系人、项目地区、采购内容、预算金额、中标供应商和跟进理由，帮助销售团队快速形成可跟进的销售线索清单。 适用于销售获客、采购线索挖掘、目标客户寻找、区域商机筛选、项目型销售拓客、渠道拓展和重点客户开发。用户可通过保标,6,,,36364,0.863
8,bid-proposal-compliance-assistant,skillhub-cn,精英量界（武汉）工程管理有限公司,,,single,标书合规审查助手。需配置世舶科技 API Key 使用。用于检查标书是否符合招标文件要求，重点关注资格、格式、响应、签章和时间要求。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机,标书合规审查助手。需配置世舶科技 API Key 使用。用于检查标书是否符合招标文件要求，重点关注资格、格式、响应、签章和时间要求。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机,6,,,29474,0.809
9,bid-document-preparation-assistant,skillhub-cn,精英量界（武汉）工程管理有限公司,,,single,投标文件编制智能助手。需配置世舶科技 API Key 使用。用于辅助编制投标文件，梳理响应目录、商务技术材料、格式要求和缺失项。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机、招,投标文件编制智能助手。需配置世舶科技 API Key 使用。用于辅助编制投标文件，梳理响应目录、商务技术材料、格式要求和缺失项。当用户需要招投标查询、中标分析、合同公告、拟在建项目、企业画像、招标文件解析、投标文件/标书写作审查或商机分析时触发，基于世舶科技 3.3亿+ 全国全行业实时更新招投标数据 API。覆盖全国全行业招投标数据、年度更新6600万+招投标数据、实时日更新30万+招投标商机、招,6,,,29195,0.807
10,national-bid-company-profile,skillhub-cn,精英量界（武汉）工程管理有限公司,,,single,全国招中标查询与企业画像。需配置世舶科技 API Key 使用，用于查询全国招中标项目并结合企业画像能力，分析企业中标记录、客户、供应商和联系方式线索。当用户需要招投标查询、中标分析、合同公告、拟在建项目、采购单位画像、供应商画像、商机发现、市场趋势或企业招投标数据分析时触发。基于世舶科技全国全行业招投标数据 API，覆盖累计3.3亿+招投标信息、年度更新6600万+招投标数据、实时日更新30万+,全国招中标查询与企业画像。需配置世舶科技 API Key 使用，用于查询全国招中标项目并结合企业画像能力，分析企业中标记录、客户、供应商和联系方式线索。当用户需要招投标查询、中标分析、合同公告、拟在建项目、采购单位画像、供应商画像、商机发现、市场趋势或企业招投标数据分析时触发。基于世舶科技全国全行业招投标数据 API，覆盖累计3.3亿+招投标信息、年度更新6600万+招投标数据、实时日更新30万+,6,,,29097,0.806
